id,text,layer,subject,stance
1,Conversely, it seems they won't take it seriously unless Tokyo suffers damage.
2,I seem to recall an expert saying about two years ago that it would become unmanageable in another two years, and now I feel like, "Yeah, that's exactly what's happening now."
3,I don't want to see news reports about children being attacked on their way to and from school... It's scary to think that something like that could actually happen someday...
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,

1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
